"ENTITY_EMP_ID","OBJ_ID","ENTITY_ID","ENTITY_AFLTN_ID","EMP_STAT_CD","EMP_TYP_CD","BASE_SLRY_AMT","PRMRY_IND","ACTV_IND","PRMRY_DEPT_CD","EMP_ID","EMP_REC_ID"
"1000","1000","1000","1000","A","N","50000","Y","Y","IN-ENGT","0000000001","1"
"1001","1001","1001","1001","T","N","50000","Y","Y","BL-BL","0000000002","1"
"1002","1002","1002","1002","A","N","50000","Y","Y","IN-ANES","0000000003","1"
"1003","1003","1003","1003","T","P","50000","Y","Y","IN-IN","0000000004","1"
"1004","1004","1004","1004","T","N","50000","Y","Y","IN-IN","0000000005","1"
"1005","1005","1005","1005","A","P","50000","Y","Y","BL-BL","0000000006","1"
"1006","1006","1006","1006","A","P","50000","Y","Y","BL-BL","0000000007","1"
"1007","1007","1007","1007","A","P","50000","Y","Y","BL-BL","0000000008","1"
"1008","1008","1008","1008","A","P","50000","Y","Y","BL-BL","0000000009","1"
"1009","1009","1009","1009","A","P","50000","Y","Y","BL-BL","0000000010","1"
"1010","1010","1010","1010","A","P","50000","Y","Y","BL-BL","0000000011","1"
"1011","1011","1011","1011","A","P","50000","Y","Y","BL-ARSD","0000000012","1"
"1012","1012","1012","1012","A","P","50000","Y","Y","BL-BL","0000000013","1"
"1013","1013","1013","1013","A","P","50000","Y","Y","BL-ARSD","0000000014","1"
"1014","1014","1014","1014","A","P","50000","Y","Y","BL-BL","0000000015","1"
"1015","1015","1015","1015","A","P","50000","Y","Y","BL-ARSD","0000000016","1"
"1016","1016","1016","1016","A","P","50000","Y","Y","BL-BL","0000000017","1"
"1017","1017","1017","1017","A","P","50000","Y","Y","BL-ARSD","0000000018","1"
"1018","1018","1018","1018","A","P","50000","Y","Y","BL-ARSD","0000000019","1"
"1019","1019","1019","1019","A","P","50000","Y","Y","BL-ARSD","0000000020","1"
"1020","1020","1020","1020","A","P","50000","Y","Y","BL-BL","0000000021","1"
"1021","1021","1021","1021","A","P","50000","Y","Y","BL-BL","0000000022","1"
"1022","1022","1022","1022","A","P","50000","Y","Y","BL-BL","0000000023","1"
"1023","1023","1023","1023","T","N","50000","Y","Y","BL-BL","0000000024","1"
"1024","1024","1024","1024","T","N","50000","Y","Y","BL-BRAD","0000000025","1"
"1025","1025","1025","1025","T","N","50000","Y","Y","BL-BL","0000000026","1"
"1026","1026","1026","1026","T","N","50000","Y","Y","BL-BL","0000000027","1"
"1027","1027","1027","1027","T","N","50000","Y","Y","BL-BL","0000000028","1"
"1028","1028","1028","1028","T","N","50000","Y","Y","BL-BL","0000000029","1"
"1029","1029","1029","1029","T","N","50000","Y","Y","BL-BL","0000000030","1"
"1030","1030","1030","1030","T","N","50000","Y","Y","BL-BL","0000000031","1"
"1031","1031","1031","1031","T","N","50000","Y","Y","BL-BL","0000000032","1"
"1032","1032","1032","1032","T","N","50000","Y","Y","BL-BL","0000000033","1"
"1033","1033","1033","1033","T","N","50000","Y","Y","BL-BL","0000000034","1"
"1035","1035","1035","1035","T","N","50000","Y","Y","BL-BL","0000000036","1"
"1036","1036","1036","1036","T","N","50000","Y","Y","BL-BL","0000000037","1"
"1037","1037","1037","1037","T","N","50000","Y","Y","BL-BL","0000000038","1"
"1038","1038","1038","1038","T","N","50000","Y","Y","BL-BL","0000000039","1"
