doc_typ_proc_id|doc_typ_id|init_rte_node_id|nm|init_ind|ver_nbr|
2005|2011|2004|PRIMARY|1.0|2.0|
2007|2012|2006|PRIMARY|1.0|2.0|
2040|2023|2039|PRIMARY|1.0|1.0|
2044|2024|2041|PRIMARY|1.0|1.0|
2062|2031|2061|PRIMARY|1.0|1.0|
2064|2032|2063|PRIMARY|1.0|1.0|
2066|2033|2065|PRIMARY|1.0|1.0|
2068|2034|2067|PRIMARY|1.0|1.0|
2841|2680|2840|PRIMARY|1.0|2.0|
2900|2995|2898|PRIMARY|1.0|1.0|
2903|2996|2901|PRIMARY|1.0|1.0|
2907|2997|2904|PRIMARY|1.0|1.0|
2909|2998|2908|PRIMARY|1.0|1.0|
2911|2999|2910|PRIMARY|1.0|1.0|
2918|3007|2917|PRIMARY|1.0|1.0|
