doc_typ_proc_id|doc_typ_id|init_rte_node_id|nm|init_ind|ver_nbr|
2005|2011|2004.0|PRIMARY|1.0|2.0|
2007|2012|2006.0|PRIMARY|1.0|2.0|
2040|2023|2039.0|PRIMARY|1.0|1.0|
2044|2024|2041.0|PRIMARY|1.0|1.0|
2058|2029|2057.0|PRIMARY|1.0|2.0|
2060|2030|2059.0|PRIMARY|1.0|1.0|
2062|2031|2061.0|PRIMARY|1.0|1.0|
2064|2032|2063.0|PRIMARY|1.0|1.0|
2066|2033|2065.0|PRIMARY|1.0|1.0|
2068|2034|2067.0|PRIMARY|1.0|1.0|
2345|2282|2344.0|PRIMARY|1.0|1.0|
2582|2440|2580.0|PRIMARY|1.0|1.0|
2841|2680|2840.0|PRIMARY|1.0|2.0|
2851|2683|2846.0|PRIMARY|1.0|1.0|
2894|2704|2892.0|PRIMARY|1.0|4.0|
2897|2707|2895.0|PRIMARY|1.0|1.0|
2900|2995|2898.0|PRIMARY|1.0|1.0|
2903|2996|2901.0|PRIMARY|1.0|1.0|
2907|2997|2904.0|PRIMARY|1.0|1.0|
2909|2998|2908.0|PRIMARY|1.0|1.0|
2911|2999|2910.0|PRIMARY|1.0|1.0|
2916|3006|2914.0|PRIMARY|1.0|1.0|
2918|3007|2917.0|PRIMARY|1.0|1.0|
