entity_nm_id|obj_id|ver_nbr|entity_id|nm_typ_cd|first_nm|middle_nm|last_nm|suffix_nm|prefix_nm|dflt_ind|actv_ind|last_updt_dt|title_nm|note_msg|nm_chng_dt|
1200|5B97C50B042C6110E0404F8189D85213|1.0|1100|PRFR|admin||admin|||Y|Y|20081113140702||||
1201|5B97C50B042D6110E0404F8189D85213|1.0|1101|PRFR|Test||Admin 1|||Y|Y|20081113140702||||
1202|5B97C50B042E6110E0404F8189D85213|1.0|1102|PRFR|Test||Admin 2|||Y|Y|20081113140702||||
1203|5B97C50B042F6110E0404F8189D85213|1.0|1103|PRFR|Test||User 1|||Y|Y|20081113140702||||
1204|5B97C50B04306110E0404F8189D85213|1.0|1104|PRFR|Test||User 2|||Y|Y|20081113140702||||
1205|5B97C50B04316110E0404F8189D85213|1.0|1105|PRFR|Test||User 3|||Y|Y|20081113140703||||
1206|5B97C50B04326110E0404F8189D85213|1.0|1106|PRFR|Test||User 4|||Y|Y|20081113140703||||
1207|5B97C50B04336110E0404F8189D85213|1.0|1107|PRFR|Test||User 5|||Y|Y|20081113140703||||
1208|5B97C50B04346110E0404F8189D85213|1.0|1108|PRFR|Test||User 6|||Y|Y|20081113140703||||
1209|5B97C50B04356110E0404F8189D85213|1.0|1109|PRFR|quickstart||quickstart|||Y|Y|20081113140703||||
1210|5B97C50B04366110E0404F8189D85213|1.0|1110|PRFR|User||One|||Y|Y|20081113140703||||
1211|5B97C50B04376110E0404F8189D85213|1.0|1111|PRFR|User||Two|||Y|Y|20081113140704||||
1212|5B97C50B04386110E0404F8189D85213|1.0|1112|PRFR|User||Three|||Y|Y|20081113140704||||
1213|5B97C50B04396110E0404F8189D85213|1.0|1113|PRFR|user4||user4|||Y|Y|20081113140704||||
1214|5B97C50B043A6110E0404F8189D85213|1.0|1114|PRFR|Edna||Employee|||Y|Y|20081113140704||||
1215|5B97C50B043B6110E0404F8189D85213|1.0|1115|PRFR|Eric||Employee|||Y|Y|20081113140704||||
1216|5B97C50B043C6110E0404F8189D85213|1.0|1116|PRFR|Earl||Employee|||Y|Y|20081113140704||||
1217|5B97C50B043D6110E0404F8189D85213|1.0|1117|PRFR|Erin||Employee|||Y|Y|20081113140704||||
1218|5B97C50B043E6110E0404F8189D85213|1.0|1118|PRFR|fred||fred|||Y|Y|20081113140705||||
1219|5B97C50B043F6110E0404F8189D85213|1.0|1119|PRFR|fran||fran|||Y|Y|20081113140705||||
1220|5B97C50B04406110E0404F8189D85213|1.0|1120|PRFR|frank||frank|||Y|Y|20081113140705||||
1221|5B97C50B04416110E0404F8189D85213|1.0|1121|PRFR|Doug||Neidermeyer|||Y|Y|20081113140705||||
1222|5B97C50B04426110E0404F8189D85213|1.0|1122|PRFR|Identity||Manager One|||Y|Y|20081113140705||||
1223|5B97C50B04436110E0404F8189D85213|1.0|1123|PRFR|Identity||Manager Two|||Y|Y|20081113140705||||
1224|5B97C50B04446110E0404F8189D85213|1.0|1124|PRFR|Identity||Manager Three|||Y|Y|20081113140706||||
1225|5B97C50B04456110E0404F8189D85213|1.0|1125|PRFR|Admin||One|||Y|Y|20081113140706||||
1226|5B97C50B04466110E0404F8189D85213|1.0|1126|PRFR|Admin||Two|||Y|Y|20081113140706||||
1227|5B97C50B04476110E0404F8189D85213|1.0|1127|PRFR|Tester||One|||Y|Y|20081113140706||||
1228|5B97C50B04486110E0404F8189D85213|1.0|1128|PRFR|Tester||Two|||Y|Y|20081113140706||||
1229|5B97C50B04496110E0404F8189D85213|1.0|1129|PRFR|Developer||One|||Y|Y|20081113140706||||
1230|5B97C50B044A6110E0404F8189D85213|1.0|1130|PRFR|Developer||Two|||Y|Y|20081113140707||||
1231|5B97C50B044B6110E0404F8189D85213|1.0|1131|PRFR|Notification||System|||Y|Y|20081113140707||||
1232|5B97C50B044C6110E0404F8189D85213|1.0|1132|PRFR|Notification||System Admin|||Y|Y|20081113140707||||
1233|5B97C50B044D6110E0404F8189D85213|1.0|1133|PRFR|newAccountUser||newAccountUser|||Y|Y|20081113140707||||
1234|5B97C50B044E6110E0404F8189D85213|1.0|1134|PRFR|supervisor||supervisor|||Y|Y|20081113140707||||
1235|5B97C50B044F6110E0404F8189D85213|1.0|1135|PRFR|director||director|||Y|Y|20081113140707||||
1236|5B97C50B04506110E0404F8189D85213|1.0|1136|PRFR|KULUSER||KULUSER|||Y|Y|20081113140707||||
1237|5B97C50B04516110E0404F8189D85213|1.0|1137|PRFR|employee||employee|||Y|Y|20081113140708||||
