emplid|ver_nbr|person_nm|setid_salary|sal_admin_plan|grade|iu_classif_level|actv_ind|
0000000001|1.0|WOODS,DELLA Y|IUBLA|SS|0D|-|Y|
0000000002|1.0|HOULIHAN,JAY H|IUBLA|PAE|11|-|Y|
0000000003|1.0|PAULIN,RAYMOND B|IUBLA|SS|0F|-|Y|
0000000004|1.0|CHEW,INEZ D|IUBLA|PAO|10|-|Y|
0000000005|1.0|MAJORS,NICHOLAS Y|IUBLA|AC1|FTX|PT|Y|
0000000006|1.0|NUGENT,DOMINIC O|IUBLA|AC1|FAX|PC|Y|
0000000007|1.0|SHORTER,MARLON B|IUBLA|SS|0F|-|Y|
0000000008|1.0|UNDERWOOD,MARGUERITE H|IUBLA|AC1|FTX|PC|Y|
0000000009|1.0|EUBANK,HIRAM W|IUBLA|PAE|16|-|Y|
0000000010|1.0|BARGER,LLOYD V|IUBLA|SS|0I|-|Y|
0000000011|1.0|KAHLER,JUANA C|IUBLA|SS|0A|-|Y|
0000000012|1.0|BYLER,ELBA B|IUBLA|PAE|13|-|Y|
0000000013|1.0|MCAFEE,ALAN E|IUBLA|SS|0F|-|Y|
0000000014|1.0|WESTFALL,HENRY F|IUBLA|PAE|13|-|Y|
0000000015|1.0|SHANKLE,BURT B|IUBLA|PAE|10|-|Y|
0000000016|1.0|FERLAND,ROBERTA L|IUBLA|SS|0D|-|Y|
0000000017|1.0|CRABTREE,KENDRICK H|IUBLA|PAE|10|-|Y|
0000000018|1.0|FELKER,OLIVE P|IUBLA|AC1|AAM|PR|Y|
0000000019|1.0|MARTIN,AUDREY F|IUBLA|SS|0A|-|Y|
0000000020|1.0|STERNER,EVERETTE W|IUBLA|PAE|10|-|Y|
0000000021|1.0|BAYLESS,CORINA H|IUBLA|AC1|UAS|-|Y|
0000000022|1.0|KATO,THEODORE M|IUBLA|AC1|FLX|TL|Y|
0000000023|1.0|HOVIS,CLAUDIA P|IUBLA|SS|0A|-|Y|
0000000024|1.0|MCINTYRE,RAFAEL N|IUBLA|PAE|13|-|Y|
0000000025|1.0|EAGLE,EMORY W|IUBLA|SS|0D|-|Y|
0000000026|1.0|BLOOD,OPAL V|IUBLA|AC1|UAS|TL|Y|
0000000027|1.0|POND,MITZI J|IUBLA|PAE|19|-|Y|
0000000028|1.0|FLAHERTY,ANGELICA C|IUBLA|SS|0F|-|Y|
0000000029|1.0|KOSS,MASON U|IUBLA|SS|0D|-|Y|
0000000030|1.0|MCEACHERN,ORA U|IUBLA|SS|0G|-|Y|
0000000031|1.0|ACUNA,WM T|IUBLA|SS|0F|-|Y|
0000000032|1.0|SCHULTE,MARITZA D|IUBLA|PAO|10|-|Y|
0000000033|1.0|DEVRIES,OLIVER M|IUBLA|SS|0D|-|Y|
0000000034|1.0|DEVANEY,DARREN X|IUBLA|SS|0D|-|Y|
0000000035|1.0|SMOCK,PAULETTE V|IUBLA|AC1|FTX|PR|Y|
0000000036|1.0|CLINKSCALES,LOGAN V|IUBLA|AC1|FTX|PR|Y|
0000000037|1.0|BRUNELLE,ANTWAN I|IUBLA|AC1|FTX|PT|Y|
0000000038|1.0|BERNAL,CONCETTA N|IUBLA|AC1|FTX|PR|Y|
0000000039|1.0|BORST,BARBRA L|IUBLA|AC1|FTX|PR|Y|
0000000040|1.0|SOILEAU,WALLACE W|IUBLA|AC1|FTX|PR|Y|
0000000041|1.0|BURD,ALTHEA Q|IUBLA|AC1|FTX|PR|Y|
0000000042|1.0|ENGEL,LOUELLA S|IUBLA|AC1|FTX|PC|Y|
0000000043|1.0|HEADLEY,FAYE L|IUBLA|AC1|FTX|PT|Y|
0000000044|1.0|GAILEY,RONDA P|IUBLA|AC1|FTX|PR|Y|
0000000045|1.0|SHIELDS,IVAN X|IUBLA|AC1|FTX|PR|Y|
0000000046|1.0|ELGIN,OLIVER M|IUBLA|AC1|FTX|PR|Y|
0000000047|1.0|BOMAN,BEATRIZ R|IUBLA|AC1|FTX|PR|Y|
0000000048|1.0|DUGGINS,TREVOR N|IUBLA|AC1|FTX|PC|Y|
0000000049|1.0|OWENS,KELLY H|IUBLA|AC1|FTX|PR|Y|
0000000050|1.0|DARR,NOELLE R|IUBLA|AC1|FTX|PR|Y|
0000000051|1.0|CARY,CECILE Z|IUBLA|AC1|AAM|PR|Y|
0000000052|1.0|MCBEE,CHARITY L|IUBLA|AC1|FTX|PR|Y|
0000000053|1.0|RALSTON,DAMON Q|IUBLA|AC1|FTX|PC|Y|
0000000054|1.0|MARTIN,MERRILL W|IUBLA|SS|0F|-|Y|
0000000055|1.0|PALLADINO,BERT Z|IUBLA|PAO|10|-|Y|
0000000056|1.0|DUNKLE,CHERYL M|IUBLA|SS|0A|-|Y|
0000000057|1.0|CHASE,CARL S|IUBLA|SS|0G|-|Y|
0000000058|1.0|WEIS,KRISTOPHER G|IUBLA|SS|0F|-|Y|
0000000059|1.0|LINDHOLM,AMY J|IUBLA|SS|0F|-|Y|
0000000060|1.0|MUNFORD,AMELIA M|IUBLA|SS|0D|-|Y|
0000000061|1.0|HAVILAND,TRACIE M|IUBLA|AC1|FTX|PR|Y|
0000000062|1.0|THEISS,MELISSA L|IUBLA|PAE|15|-|Y|
0000000063|1.0|PICKARD,SAMMIE U|IUBLA|PAE|10|-|Y|
0000000064|1.0|BIRD,MERCEDES D|IUBLA|SS|0D|-|Y|
0000000065|1.0|DUNSON,AVIS B|IUBLA|SM|0I|-|Y|
0000000066|1.0|GRINDLE,AL S|IUBLA|PAO|11|-|Y|
0000000067|1.0|BILLER,LEONEL X|IUBLA|SS|0D|-|Y|
0000000068|1.0|ABNEY,GERARDO L|IUBLA|SS|0E|-|Y|
0000000069|1.0|NOLAND,KELLI A|IUBLA|SS|0D|-|Y|
0000000070|1.0|DANIELSON,JOE G|IUBLA|AC1|FTX|PC|Y|
0000000071|1.0|FLESHER,NEWTON Y|IUBLA|SS|0D|-|Y|
0000000072|1.0|YOON,VANESSA X|IUBLA|SS|0D|-|Y|
0000000073|1.0|BUNNELL,MONICA R|IUBLA|AC1|FTX|PR|Y|
0000000074|1.0|MICHELS,MABEL D|IUBLA|AC1|FTX|PR|Y|
0000000075|1.0|DURBIN,LAKISHA T|IUBLA|AC1|FTX|PR|Y|
0000000076|1.0|BLACKWOOD,BARRY R|IUBLA|AC1|FLX|TL|Y|
0000000077|1.0|JACOBO,SASHA S|IUBLA|AC1|FLX|TS|Y|
0000000078|1.0|BARTH,VONDA W|IUBLA|AC1|FTX|PR|Y|
0000000079|1.0|FANG,NOE F|IUBLA|AC1|RSS|-|Y|
0000000080|1.0|SHARMA,ALEXANDER E|IUBLA|AC1|FLX|TS|Y|
0000000081|1.0|RODRIGUEZ,MILLARD K|IUBLA|AC1|FTX|PC|Y|
0000000082|1.0|YON,EUGENIO P|IUBLA|AC1|FTX|PR|Y|
0000000083|1.0|EARLEY,DEBORA Y|IUBLA|AC1|FTX|PR|Y|
0000000084|1.0|ONEIL,ROBERT M|IUBLA|AC1|FTX|PC|Y|
0000000085|1.0|STRINGER,HATTIE P|IUBLA|AC1|FTX|PR|Y|
0000000086|1.0|PENROD,TAMIKA L|IUBLA|AC1|FTX|PR|Y|
0000000087|1.0|JAMISON,KRIS Y|IUBLA|AC1|FTX|PR|Y|
0000000088|1.0|ARRIAGA,STACIE U|IUBLA|PAO|10|-|Y|
0000000089|1.0|MEDLEY,QUENTIN G|IUBLA|AC1|FTX|PR|Y|
0000000090|1.0|KNUDSEN,KENDRA E|IUBLA|AC1|RSS|TL|Y|
0000000091|1.0|VALDIVIA,NORMAND X|IUBLA|AC1|FTX|PT|Y|
0000000092|1.0|HUTCHINSON,ROSENDO M|IUBLA|AC1|FTX|PT|Y|
0000000093|1.0|CROCKETT,MONTY C|IUBLA|AC1|FTX|PR|Y|
0000000094|1.0|IVES,STACY J|IUBLA|AC1|FTX|PT|Y|
0000000095|1.0|TOY,LEAH L|IUBLA|SS|0D|-|Y|
0000000096|1.0|HAFNER,ARTHUR B|IUBLA|AC1|FTX|PT|Y|
0000000097|1.0|SIGLER,ERMA A|IUBLA|AC1|FVX|PT|Y|
0000000148|1.0|SINCLAIR,CLAIR V|IUBLA|AC1|AAM|PR|Y|
0000000149|1.0|JINKS,WILEY C|IUBLA|AC1|AAM|PR|Y|
0000000166|1.0|DULEY,KATY F|IUBLA|SS|0A|-|Y|
0000000167|1.0|HUTTON,CHRISTOPER Z|IUBLA|SS|0D|-|Y|
0000000203|1.0|PANEK,MERRILL G|IUBLA|SS|0A|-|Y|
0000000204|1.0|SCHOENFELD,CATHY H|IUBLA|SS|0D|-|Y|
0000000222|1.0|HINZ,MOLLIE B|IUBLA|SS|0A|-|Y|
0000000223|1.0|BORCHARDT,ALEX M|IUBLA|SS|0D|-|Y|
0000000269|1.0|SILVA,FOREST H|IUBLA|AC1|AAM|PR|Y|
0000000270|1.0|EDDINGTON,ELVA P|IUBLA|AC1|AAM|PR|Y|
0000000286|1.0|HATCHETT,KAREEM I|IUBLA|AC1|AAM|PR|Y|
0000000287|1.0|GARFIELD,ELOISE N|IUBLA|AC1|AAM|PR|Y|
0000000289|1.0|FELTON,SUE B|IUBLA|AC1|AAM|PR|Y|
0000000290|1.0|KINZER,IVA L|IUBLA|AC1|AAM|PR|Y|
0000000293|1.0|BOYCE,EDDY C|IUBLA|AC1|AAM|PR|Y|
0000000294|1.0|BAUM,ROBBIE U|IUBLA|AC1|AAM|PR|Y|
0000000303|1.0|DRUMM,RODRICK C|IUBLA|AC1|AAM|PR|Y|
0000000304|1.0|KINARD,DALTON N|IUBLA|AC1|AAM|PR|Y|
0000000305|1.0|BOSCO,VITO K|IUBLA|AC1|AAM|PR|Y|
0000000307|1.0|GERARD,VALARIE J|IUBLA|AC1|AAM|PR|Y|
0000000308|1.0|SUTTLE,JARRETT N|IUBLA|AC1|AAM|PR|Y|
0000000330|1.0|TELLES,NOLAN W|IUBLA|PAE|10|-|Y|
0000000331|1.0|ROMINE,JOEY U|IUBLA|PAE|10|-|Y|
0000000335|1.0|MCGINTY,ELIJAH M|IUBLA|SS|0A|-|Y|
0000000336|1.0|CANTU,EVERETT E|IUBLA|SS|0A|-|Y|
0000000337|1.0|CRUZ,LINA T|IUBLA|PAE|10|-|Y|
0000000338|1.0|FORTIN,VAUGHN M|IUBLA|PAE|10|-|Y|
0000000355|1.0|CANADAY,ELVIA S|IUBLA|AC1|AAM|PR|Y|
0000000356|1.0|LAFRENIERE,ARMANDO L|IUBLA|AC1|AAM|PR|Y|
0000000357|1.0|FENSKE,TY P|IUBLA|AC1|AAM|PR|Y|
0000000361|1.0|GRIMM,BRETT F|IUBLA|AC1|AAM|PR|Y|
0000000362|1.0|LAVALLEY,LOGAN X|IUBLA|SS|0A|-|Y|
0000000363|1.0|ALBERTSON,ALFRED W|IUBLA|SS|0D|-|Y|
0000000365|1.0|BRAY,ISABELLA Q|IUBLA|SS|0A|-|Y|
0000000366|1.0|MERTZ,CARMELLA C|IUBLA|SS|0A|-|Y|
0000000367|1.0|KIRKWOOD,MILAGROS F|IUBLA|SS|0D|-|Y|
0000000379|1.0|PROPST,ROBIN J|IUBLA|PAE|10|-|Y|
0000000380|1.0|LAJOIE,JOSEFINA Z|IUBLA|SS|0A|-|Y|
0000000381|1.0|EGGLESTON,SANTIAGO D|IUBLA|SS|0D|-|Y|
0000000383|1.0|CURREY,AGUSTIN P|IUBLA|SS|0A|-|Y|
0000000384|1.0|RUSHING,LATONYA Y|IUBLA|SS|0D|-|Y|
