univ_fiscal_yr|a21_lbr_rpt_typ_cd|erncd|paygroup|obj_id|ver_nbr|row_actv_ind|
2009.0|10|REG|S10|E722B909-FAFE-ED1B-4F56-ADB07037427C|2.0|Y|
2009.0|10|RGA|A10|4EF686B1-21B5-BE55-25E8-3201DD936E80|2.0|Y|
2009.0|10|RGS|AS0|CC8348CC-F813-554C-4446-5626FFE7C396|2.0|Y|
2009.0|12|REG|S12|004B1419-9871-6D3A-F5B6-8646C4C69819|2.0|Y|
2009.0|12|RGA|A12|73128630-54C5-8296-81EA-4D4BB04CEEA2|2.0|Y|
2009.0|12|RGR|RES|F8607CD4-543B-EFC8-DA4D-B39B250003C1|2.0|Y|
2009.0|12|RGS|AS2|8217738B-C7CE-68BA-517D-7F9ABA15A1F6|2.0|Y|
2009.0|BI|OCC|HRX|AF0444FF-FCF8-2172-6830-684677B6E362|2.0|Y|
2009.0|BI|RAO|AOE|95D2AEEE-E97E-A34B-0358-1AEEB9E59C0D|2.0|Y|
2009.0|BI|RGA|SUM|8AB4D2C8-E098-267A-A58E-E4F4C555F6FA|2.0|Y|
2009.0|BI|RGH|HRA|F9A4B19B-5309-0AD1-FB80-84A60E4BDA36|2.0|Y|
2009.0|BI|RGH|HRR|490F4AE6-BC1D-27B2-0021-4026A9F97CE4|2.0|Y|
2009.0|BI|RGN|BW1|C8C25CE8-36FC-C537-D12E-4CF713B88EA1|2.0|Y|
2009.0|BI|RGP|HRP|78CE84E1-C137-CA18-372D-9364F17DBD64|2.0|Y|
2009.0|BI|RGW|HRW|C21D6A09-FB46-7EA9-502B-00703B1164A5|2.0|Y|
2009.0|BI|RMO|SMO|EA6B2E1C-6BFF-9956-117E-F20C392F5645|2.0|Y|
2010.0|10|REG|S10|70380F70-8F1C-89AF-FA95-C5D836AA1EFE|2.0|Y|
2010.0|10|RGA|A10|B0715A59-60E5-41E1-EB0F-57728AB09B1D|2.0|Y|
2010.0|10|RGS|AS0|E3595778-BCC9-906B-907D-60715AB42454|2.0|Y|
2010.0|12|REG|S12|BD299BF0-CD65-0191-B798-9D3C4A448758|2.0|Y|
2010.0|12|RGA|A12|AB09E1FF-A6DA-C6ED-7F5F-919A83386FD1|2.0|Y|
2010.0|12|RGR|RES|7FED379D-D158-EA9B-17B7-766C606F0523|2.0|Y|
2010.0|12|RGS|AS2|0833D9AB-ADEC-9933-51DC-B27F27A1408C|2.0|Y|
2010.0|BI|OCC|HRX|5B57397B-CA85-19C0-31A2-6441F04B540D|2.0|Y|
2010.0|BI|RAO|AOE|B3800866-CB53-04AA-8E15-EE81724B7C90|2.0|Y|
2010.0|BI|RGA|SUM|ABF944F6-CBF8-1DC3-FE7C-E0597899ACE0|2.0|Y|
2010.0|BI|RGH|HRA|D56C1794-0E41-813A-50A9-B280ED0CD478|2.0|Y|
2010.0|BI|RGH|HRR|07BA4636-030F-73B4-33E5-10E6EB8EBC51|2.0|Y|
2010.0|BI|RGN|BW1|3C5ED31D-7EA5-046F-A96B-C7D237191B23|2.0|Y|
