prpsl_nbr|bill_id|obj_id|ver_nbr|bill_nbr|bill_dt|est_amt|billed_ind|bill_desc|actv_ind|
80078.0|7.0|d6146515-fe90-4973-b920-a60585db2649|2.0|2.0|20140228000000|15.0|N|Bill 2|Y|
80078.0|8.0|eed216dd-fb81-4f9f-bc7f-13541ce13503|2.0|1.0|20140224000000|10.0|N|Bill 1|Y|
80078.0|9.0|f40a8c6e-ec1a-4f82-b768-ac390378c75f|2.0|3.0|20140305000000|25.0|N|Bill 3|Y|
80078.0|10.0|8cabc1b4-eec6-47ff-b9ae-a6f4bd695361|2.0|4.0|20140314000000|30.0|N|Bill 4|Y|
80078.0|11.0|ec8f9849-c3f7-4c83-a0b5-7548f03b3b0a|1.0|5.0|20140131000000|100.0|N|Bill 5|Y|
80078.0|21.0|1a5f31e1-fbba-436c-8e43-65714866987f|1.0|6.0|20181231000000|50.0|N|Bill 6|Y|
80078.0|22.0|12a5618c-fbad-4f89-aa8d-618b96995c4b|1.0|7.0|20181215000000|60.0|N|Bill 7|Y|
80080.0|21.0|0d9c20cc-2932-49aa-b6bd-9a101bb93927|1.0|2.0|20140228000000|15.0|N|Bill 2|Y|
80080.0|22.0|e36a5b63-5526-4103-8d59-6fd28e582a8b|1.0|1.0|20140224000000|10.0|N|Bill 1|Y|
80080.0|23.0|c6722c59-3988-4e2e-9da7-29f18bd999ef|1.0|3.0|20140305000000|25.0|N|Bill 3|Y|
80080.0|24.0|48cdb5fe-dad2-4037-89a7-207a0148b027|1.0|4.0|20140314000000|30.0|N|Bill 4|Y|
80080.0|25.0|be0f9ad1-939f-466c-906d-78ea180727bd|1.0|5.0|20140131000000|100.0|N|Bill 5|Y|
80080.0|26.0|35b7bbff-e3e0-4e3a-a5d8-662af6d2f070|1.0|6.0|20181231000000|50.0|N|Bill 6|Y|
80080.0|27.0|cf0a589e-d56b-4dc5-9605-1d79692775cb|1.0|7.0|20181215000000|60.0|N|Bill 7|Y|
