entity_ext_id_id|obj_id|ver_nbr|entity_id|ext_id_typ_cd|ext_id|last_updt_dt|
KFS4200|KFS4200|1.0|KFS1000|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4201|KFS4201|1.0|KFS1001|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4202|KFS4202|1.0|KFS1002|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4203|KFS4203|1.0|KFS1003|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4204|KFS4204|1.0|KFS1004|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4205|KFS4205|1.0|KFS1005|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4206|KFS4206|1.0|KFS1006|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4207|KFS4207|1.0|KFS1007|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4208|KFS4208|1.0|KFS1008|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4209|KFS4209|1.0|KFS1009|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4210|KFS4210|1.0|KFS1010|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4211|KFS4211|1.0|KFS1011|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4212|KFS4212|1.0|KFS1012|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4213|KFS4213|1.0|KFS1013|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4214|KFS4214|1.0|KFS1014|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4215|KFS4215|1.0|KFS1015|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4216|KFS4216|1.0|KFS1016|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4217|KFS4217|1.0|KFS1017|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4218|KFS4218|1.0|KFS1018|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4219|KFS4219|1.0|KFS1019|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4220|KFS4220|1.0|KFS1020|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4221|KFS4221|1.0|KFS1021|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4222|KFS4222|1.0|KFS1022|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4223|KFS4223|1.0|KFS1023|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4224|KFS4224|1.0|KFS1024|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4225|KFS4225|1.0|KFS1025|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4226|KFS4226|1.0|KFS1026|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4227|KFS4227|1.0|KFS1027|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4228|KFS4228|1.0|KFS1028|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4229|KFS4229|1.0|KFS1029|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4230|KFS4230|1.0|KFS1030|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4231|KFS4231|1.0|KFS1031|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4232|KFS4232|1.0|KFS1032|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4233|KFS4233|1.0|KFS1033|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4234|KFS4234|1.0|KFS1035|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4235|KFS4235|1.0|KFS1036|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4236|KFS4236|1.0|KFS1037|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4237|KFS4237|1.0|KFS1038|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4238|KFS4238|1.0|KFS1039|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4239|KFS4239|1.0|KFS1040|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4240|KFS4240|1.0|KFS1041|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4241|KFS4241|1.0|KFS1042|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4242|KFS4242|1.0|KFS1043|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4243|KFS4243|1.0|KFS1044|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4244|KFS4244|1.0|KFS1045|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4245|KFS4245|1.0|KFS1046|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4246|KFS4246|1.0|KFS1047|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4247|KFS4247|1.0|KFS1048|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4248|KFS4248|1.0|KFS1049|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4249|KFS4249|1.0|KFS1050|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4250|KFS4250|1.0|KFS1052|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4251|KFS4251|1.0|KFS1053|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4252|KFS4252|1.0|KFS1054|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
