univ_fiscal_yr|fin_coa_cd|fin_obj_sub_type_cd|obj_id|ver_nbr|cptlztn_fobj_cd|accum_depr_fobj_cd|depr_exp_fobj_cd|row_actv_ind|
2009.0|BA|AM|5176F1952CECCCDAE0404F8189D84656|1.0|8615|||Y|
2009.0|BA|BD|5176F1952CDBCCDAE0404F8189D84656|1.0|8601|8901|5112|Y|
2009.0|BA|BF|5176F1952CDCCCDAE0404F8189D84656|1.0|8605|8905|5112|Y|
2009.0|BA|BI|5176F1952CE4CCDAE0404F8189D84656|1.0|8629|8929|5129|Y|
2009.0|BA|BR|5176F1952CE0CCDAE0404F8189D84656|1.0|8601|8907|5117|Y|
2009.0|BA|BY|5176F1952CEDCCDAE0404F8189D84656|1.0|8641|||Y|
2009.0|BA|C1|5176F1952CE2CCDAE0404F8189D84656|1.0|8627|8927|5127|Y|
2009.0|BA|C2|5176F1952CE3CCDAE0404F8189D84656|1.0|8628|8928|5128|Y|
2009.0|BA|CF|5176F1952CDDCCDAE0404F8189D84656|1.0|8611|8910|5115|Y|
2009.0|BA|CL|5176F1952CEECCDAE0404F8189D84656|1.0|9603|||Y|
2009.0|BA|CM|5176F1952CDECCDAE0404F8189D84656|1.0|8610|8910|5115|Y|
2009.0|BA|CO|5176F1952CEFCCDAE0404F8189D84656|1.0||||Y|
2009.0|BA|CP|5176F1952CF0CCDAE0404F8189D84656|1.0||||Y|
2009.0|BA|ES|5176F1952CE7CCDAE0404F8189D84656|1.0|8630|8930|5156|Y|
2009.0|BA|IF|5176F1952CE8CCDAE0404F8189D84656|1.0|8604|8904|5157|Y|
2009.0|BA|LA|5176F1952CF1CCDAE0404F8189D84656|1.0|8603|||Y|
2009.0|BA|LE|5176F1952CE9CCDAE0404F8189D84656|1.0|8608|8908|5158|Y|
2009.0|BA|LF|5176F1952CEACCDAE0404F8189D84656|1.0|8614|8913|5159|Y|
2009.0|BA|LI|5176F1952CEBCCDAE0404F8189D84656|1.0|8613|8913|5159|Y|
2009.0|BA|LR|5176F1952CE1CCDAE0404F8189D84656|1.0|8665|8965|5119|Y|
2009.0|BA|NA|5176F1952CDFCCDAE0404F8189D84656|1.0|8610|8910|5115|Y|
2009.0|BA|UC|5176F1952CE5CCDAE0404F8189D84656|1.0|8618|8933|5133|Y|
2009.0|BA|UF|5176F1952CE6CCDAE0404F8189D84656|1.0|8619|8933|5133|Y|
