univ_fiscal_yr|fin_coa_cd|fdoc_typ_cd|fin_balance_typ_cd|obj_id|ver_nbr|fin_object_cd|
2009.0|BA|AA|AC|6E87373C-E831-A3FA-CC09-0834782BC7A5|1.0|8000|
2009.0|BA|ACLO|AC|037D5E2A-8FA6-D59E-BD74-AD2071E87000|1.0|9896|
2009.0|BA|AD|AC|3D6D0269-F42D-15B6-E76F-60E8F2CC8D1B|1.0|8000|
2009.0|BA|APP|AC|6453E1209A6725B9E0404F8189D829F7|1.0|8000|
2009.0|BA|ARBL|AC|53AEDB1B-E1C8-30B6-1A43-EA656519E13B|1.0|8000|
2009.0|BA|ARCM|AC|ADF58463-0D45-C61F-C88D-E1BB90E4D0E8|1.0|9899|
2009.0|BA|ARG|AC|903641CE-619C-16CA-F434-CC981BB5BE14|1.0|9899|
2009.0|BA|ARIN|AC|066DD492-E309-CEA0-8885-4400D154E583|1.0|9899|
2009.0|BA|ARNI|AC|19B52FDF-C252-42B7-B289-1C0172AC72E7|1.0|9899|
2009.0|BA|ARPY|AC|895E2440-2CCC-16C1-687F-8338A400F725|1.0|9899|
2009.0|BA|AT|AC|3B1480FD-A725-0D22-862E-63D916AF1F49|1.0|9899|
2009.0|BA|AV|AC|90502AAE-35AF-AFAD-FA32-BF5A00EB41C5|1.0|9897|
2009.0|BA|AVAC|AC|3EEBC5F7-37E9-6A5E-678E-47229693D6FB|1.0|9899|
2009.0|BA|AVAD|AC|07116E91-7B21-25E8-0499-5AF751824214|1.0|9897|
2009.0|BA|AVAE|AC|E86CDD2E-67BD-6255-6193-CB5313AE7396|1.0|9897|
2009.0|BA|AVRC|AC|C77CC8DE-F4E0-1E40-59B9-0AD4E1EB063D|1.0|9897|
2009.0|BA|BA|AC|2C3ADF0A-A301-528B-D535-4467E5176AC6|1.0|8000|
2009.0|BA|BACH|AC|76198DB9-9700-FDF5-7375-71C20154E912|1.0|8000|
2009.0|BA|BARS|AC|FE5523CA-F216-8646-A741-602FADAC4C30|1.0|8000|
2009.0|BA|BRET|AC|10AA9099-34D4-0381-39D8-C33A49B29D89|1.0|8000|
2009.0|BA|BT|AC|FEDC8E83-6059-2747-2554-A89235B556F4|1.0|8000|
2009.0|BA|CCAD|AC|5330CC35-14F7-D4F8-CF10-2D2624C5CD1A|1.0|8000|
2009.0|BA|CCCH|AC|7E042B42-D520-45F1-4840-8E378C3038E3|1.0|8000|
2009.0|BA|CCR|AC|8BF890A5-6D2F-3CEB-C9FF-BC206417ECCD|1.0|8000|
2009.0|BA|CD|AC|0384C463-97D8-5A53-4EEE-4A0C21FA5D98|1.0|8000|
2009.0|BA|CM|AC|F7B2A3BA-8579-CE4A-275B-177BB90F5EDA|1.0|9041|
2009.0|BA|CM|CE|07203985-CFD3-9173-5E45-8378447A4FCA|1.0|9893|
2009.0|BA|CM|EX|09DEE8DF-57AE-BA94-1AD7-587FAF1FA8AD|1.0|9892|
2009.0|BA|CMD|AC|AECD69E2-7159-FAC1-2D55-5CD286DF72A9|1.0|8000|
