a21_lbr_rpt_nbr|univ_fiscal_yr|obj_id|ver_nbr|a21lbr_rpt_prd_ttl|lbr_rpt_prdstat_cd|lbr_et_fscl_yr|lbr_et_fscl_prd_cd|a21_lbr_rpt_typ_cd|a21lbr_rpt_rtrn_dt|lbr_rpt_beg_fscl_yr|lbr_rpt_beg_fscl_prd_cd|lbr_rpt_end_fscl_yr|lbr_rpt_end_fscl_prd_cd|row_actv_ind|
A01|2009.0|742D9B34-96CB-709E-6F7B-B6C878DC595B|2.0|Academic Fall|N|2009.0|06|10||2009.0|02|2009.0|06|Y|
A01|2010.0|194E3567-D92B-55C8-3F1A-36F25397A066|2.0|Academic Fall|N|2010.0|06|10||2010.0|02|2010.0|06|Y|
A01|2011.0|84687050-B8F1-72B8-C79D-C9AC524F97A4|2.0|Academic Fall|N|2011.0|06|10||2011.0|02|2011.0|06|Y|
A01|2012.0|2AA56841-B38B-199B-0444-FF1AA56FBB5C|2.0|Academic Fall|N|2012.0|06|10||2012.0|02|2012.0|06|Y|
A01|2013.0|96706973-391b-4b2e-89a9-31831d2e09c2|2.0|Academic Fall|N|2013.0|06|10||2013.0|02|2013.0|06|Y|
A01|2014.0|d07cfdd0-b77a-4614-bc25-f0685fc3b7f5|2.0|Academic Fall|N|2014.0|06|10||2014.0|02|2014.0|06|Y|
A01|2015.0|f4e314df-7599-41f8-8e7b-4719bea100a8|2.0|Academic Fall|N|2015.0|06|10||2015.0|02|2015.0|06|Y|
A02|2009.0|24441F48-DB7D-DF1F-C942-6C725BDEDCA1|2.0|Academic Spring|N|2009.0|11|10||2009.0|07|2009.0|11|Y|
A02|2010.0|1A09DB76-46FC-7A7C-9B31-E8FA00D9C3DA|2.0|Academic Spring|N|2010.0|11|10||2010.0|07|2010.0|11|Y|
A02|2011.0|B2E4178B-2B04-B7D3-56B6-55044A84CF86|2.0|Academic Spring|N|2011.0|11|10||2011.0|07|2011.0|11|Y|
A02|2012.0|16D3F097-4593-3DCD-E30E-55F4F492B64F|2.0|Academic Spring|N|2012.0|11|10||2012.0|07|2012.0|11|Y|
A02|2013.0|9437e8d1-c396-4564-ba68-1397d2008043|2.0|Academic Spring|N|2013.0|11|10||2013.0|07|2013.0|11|Y|
A02|2014.0|2720505c-5a37-4286-9b24-ef1d7e2bd3e2|2.0|Academic Spring|N|2014.0|11|10||2014.0|07|2014.0|11|Y|
A02|2015.0|780e6ad3-5673-4a9b-a1ff-d670c68a2950|2.0|Academic Spring|N|2015.0|11|10||2015.0|07|2015.0|11|Y|
A03|2009.0|08624594-8DAA-51CD-C8C6-1E33E977710E|2.0|Academic Summer|N|2010.0|02|SU||2009.0|11|2010.0|02|Y|
B01|2009.0|DFBB3ECE-C6CF-5195-C9FE-7A79EB0584EA|2.0|Bi 1st Quarter|N|2009.0|03|BI||2009.0|01|2009.0|03|Y|
B01|2010.0|C8E69606-A2BB-BEBB-E75D-6AFF27A70FC6|2.0|Bi 1st Quarter|N|2010.0|03|BI||2010.0|01|2010.0|03|Y|
B01|2011.0|7CC4D3C6-B9B5-2214-E353-5D0A76A9436F|2.0|Bi 1st Quarter|N|2011.0|03|BI||2011.0|01|2011.0|03|Y|
B01|2012.0|44460FF6-AF74-4E16-22E9-467A9A647C87|2.0|Bi 1st Quarter|N|2012.0|03|BI||2012.0|01|2012.0|03|Y|
B01|2013.0|68684b22-f9c0-428a-be58-c770f2fb5323|2.0|Bi 1st Quarter|N|2013.0|03|BI||2013.0|01|2013.0|03|Y|
B01|2014.0|532e02f0-277c-41df-b61b-b1581d7be1cb|2.0|Bi 1st Quarter|N|2014.0|03|BI||2014.0|01|2014.0|03|Y|
B01|2015.0|6efaaf73-f287-4454-a4f2-9a531cbc096a|2.0|Bi 1st Quarter|N|2015.0|03|BI||2015.0|01|2015.0|03|Y|
B02|2009.0|5310F630-9ED0-9C73-5C88-8FCB8371913C|2.0|Bi 2nd Quarter|N|2009.0|06|BI||2009.0|04|2009.0|06|Y|
B02|2010.0|4DF01465-65E4-250C-375A-C9C3CBC948C9|2.0|Bi 2nd Quarter|N|2010.0|06|BI||2010.0|04|2010.0|06|Y|
B02|2011.0|56F7CD5F-D27B-CF46-2C4A-F447905A1547|2.0|Bi 2nd Quarter|N|2011.0|06|BI||2011.0|04|2011.0|06|Y|
B02|2012.0|7563DA67-6E43-229A-E9A2-250FF0B3F5B4|2.0|Bi 2nd Quarter|N|2012.0|06|BI||2012.0|04|2012.0|06|Y|
B02|2013.0|a2b48a54-6021-405b-bfed-00cd2808b608|2.0|Bi 2nd Quarter|N|2013.0|06|BI||2013.0|04|2013.0|06|Y|
B02|2014.0|3c3d1327-4453-4981-a200-db3f2ad11f6d|2.0|Bi 2nd Quarter|N|2014.0|06|BI||2014.0|04|2014.0|06|Y|
B02|2015.0|65509819-86b8-43e3-9df4-2bcb0f9fe6c8|2.0|Bi 2nd Quarter|N|2015.0|06|BI||2015.0|04|2015.0|06|Y|
B03|2009.0|CF9FFC28-7319-C953-3CF2-539D681F4C18|2.0|Bi 3rd Quarter|N|2009.0|09|BI||2009.0|07|2009.0|09|Y|
B03|2010.0|690E8B34-8670-14AF-CAA7-DCE8AF4324A3|2.0|Bi 3rd Quarter|N|2010.0|09|BI||2010.0|07|2010.0|09|Y|
B03|2011.0|D1D56F4A-2B86-FE5D-6263-E76FA6B83BC7|2.0|Bi 3rd Quarter|N|2011.0|09|BI||2011.0|07|2011.0|09|Y|
B03|2012.0|75A534AD-542D-04BC-1182-F2EA1EF24BAE|2.0|Bi 3rd Quarter|N|2012.0|09|BI||2012.0|07|2012.0|09|Y|
B03|2013.0|0750be16-40a2-4643-9bc2-014784b48171|2.0|Bi 3rd Quarter|N|2013.0|09|BI||2013.0|07|2013.0|09|Y|
B03|2014.0|6dbcffab-c578-4c9e-9e97-0c0777cf4376|2.0|Bi 3rd Quarter|N|2014.0|09|BI||2014.0|07|2014.0|09|Y|
B03|2015.0|fcea9631-bc0e-4779-b387-d8bf8f9e58a6|2.0|Bi 3rd Quarter|N|2015.0|09|BI||2015.0|07|2015.0|09|Y|
B04|2009.0|0775897B-333B-26E9-499B-2355E421CF98|2.0|Bi 4th Quarter|N|2009.0|12|BI||2009.0|10|2009.0|12|Y|
B04|2010.0|2C3509F0-66F4-C3D5-1FE7-E842B28B758A|2.0|Bi 4th Quarter|N|2010.0|12|BI||2010.0|10|2010.0|12|Y|
B04|2011.0|8533B959-F590-322E-8AFE-C0A613619562|2.0|Bi 4th Quarter|N|2011.0|12|BI||2011.0|10|2011.0|12|Y|
B04|2012.0|A0C0747A-0763-1034-4B5E-E4850C0C959F|2.0|Bi 4th Quarter|N|2012.0|12|BI||2012.0|10|2012.0|12|Y|
B04|2013.0|15614662-fbb3-4479-8905-211850859591|2.0|Bi 4th Quarter|N|2013.0|12|BI||2013.0|10|2013.0|12|Y|
B04|2014.0|f16a6d02-3148-4ace-bbbb-9df4ea396e44|2.0|Bi 4th Quarter|N|2014.0|12|BI||2014.0|10|2014.0|12|Y|
B04|2015.0|ae193a0f-c7ce-4b63-a022-1e85e0659f31|2.0|Bi 4th Quarter|N|2015.0|12|BI||2015.0|10|2015.0|12|Y|
M01|2009.0|D1DC5228-238C-D989-036C-1FE92FA19DFA|2.0|Monthly Fall|N|2009.0|06|12||2009.0|01|2009.0|06|Y|
M01|2010.0|D075D3E1-F26F-6291-4121-1A86A33B9930|2.0|Monthly Fall|N|2010.0|06|12||2010.0|01|2010.0|06|Y|
M01|2011.0|BD7D9752-2394-94B4-D597-7D8CD37CD92F|2.0|Monthly Fall|N|2011.0|06|12||2011.0|01|2011.0|06|Y|
M01|2012.0|AD208AD1-510B-54CB-C59E-1C700F58404B|2.0|Monthly Fall|N|2012.0|06|12||2012.0|01|2012.0|06|Y|
M01|2013.0|bd2f6a51-8a63-432a-8dc2-983f3bb32449|2.0|Monthly Fall|N|2013.0|06|12||2013.0|01|2013.0|06|Y|
M01|2014.0|e24640fe-0795-4845-9f8b-dc6f1802a4df|2.0|Monthly Fall|N|2014.0|06|12||2014.0|01|2014.0|06|Y|
M01|2015.0|c26a4e7c-c0bc-43c6-8f46-d11f1aac6335|2.0|Monthly Fall|N|2015.0|06|12||2015.0|01|2015.0|06|Y|
M02|2009.0|E1946D4A-8E25-B2B2-9CA2-D1541185330F|2.0|Monthly Spring|N|2009.0|12|12||2009.0|07|2009.0|12|Y|
M02|2010.0|2ACB2F86-5372-C4C5-550C-0E54D12AB930|2.0|Monthly Spring|N|2010.0|12|12||2010.0|07|2010.0|12|Y|
M02|2011.0|FA2568EE-B7D6-25B3-61B9-EA4DEC689223|2.0|Monthly Spring|N|2011.0|12|12||2011.0|07|2011.0|12|Y|
M02|2012.0|3FE3325E-35E0-53E7-50EF-7591C7238257|2.0|Monthly Spring|N|2012.0|12|12||2012.0|07|2012.0|12|Y|
M02|2013.0|5ff0021a-80d3-4e45-a679-fc7e15656032|2.0|Monthly Spring|N|2013.0|12|12||2013.0|07|2013.0|12|Y|
M02|2014.0|30029734-9b79-4343-9b79-44b96c3cadaa|2.0|Monthly Spring|N|2014.0|12|12||2014.0|07|2014.0|12|Y|
M02|2015.0|3c72b6bb-bfe9-40cf-93b9-a3c83837f964|2.0|Monthly Spring|N|2015.0|12|12||2015.0|07|2015.0|12|Y|
