entity_nm_id|obj_id|ver_nbr|entity_id|nm_typ_cd|first_nm|middle_nm|last_nm|suffix_nm|prefix_nm|dflt_ind|actv_ind|last_updt_dt|title_nm|note_msg|nm_chng_dt|
1200|5B97C50B042C6110E0404F8189D85213|1.0|1100|PRFR|admin||admin|||Y|Y|20081113140702||||
1231|5B97C50B044B6110E0404F8189D85213|1.0|1131|PRFR|Notification||System|||Y|Y|20081113140707||||
KFS1000|KFS1000|1.0|KFS1000|PRFR|DELLA|Y|WOODS|||Y|Y|20121207233017||||
KFS1001|KFS1001|1.0|KFS1001|PRFR|JAY|H|HOULIHAN|||Y|Y|20121207233017||||
KFS1002|KFS1002|1.0|KFS1002|PRFR|RAYMOND|B|PAULIN|||Y|Y|20121207233017||||
KFS1003|KFS1003|1.0|KFS1003|PRFR|INEZ|D|CHEW|||Y|Y|20121207233017||||
KFS1004|KFS1004|1.0|KFS1004|PRFR|NICHOLAS|Y|MAJORS|||Y|Y|20121207233017||||
KFS1005|KFS1005|1.0|KFS1005|PRFR|DOMINIC|O|NUGENT|||Y|Y|20121207233017||||
KFS1006|KFS1006|1.0|KFS1006|PRFR|MARLON|B|SHORTER|||Y|Y|20121207233017||||
KFS1007|KFS1007|1.0|KFS1007|PRFR|MARGUERITE|H|UNDERWOOD|||Y|Y|20121207233017||||
KFS1008|KFS1008|1.0|KFS1008|PRFR|HIRAM|W|EUBANK|||Y|Y|20121207233017||||
KFS1009|KFS1009|1.0|KFS1009|PRFR|LLOYD|V|BARGER|||Y|Y|20121207233017||||
KFS1010|KFS1010|1.0|KFS1010|PRFR|JUANA|C|KAHLER|||Y|Y|20121207233017||||
KFS1011|KFS1011|1.0|KFS1011|PRFR|ELBA|B|BYLER|||Y|Y|20121207233017||||
KFS1012|KFS1012|1.0|KFS1012|PRFR|ALAN|E|MCAFEE|||Y|Y|20121207233017||||
KFS1013|KFS1013|1.0|KFS1013|PRFR|HENRY|F|WESTFALL|||Y|Y|20121207233017||||
KFS1014|KFS1014|1.0|KFS1014|PRFR|BURT|B|SHANKLE|||Y|Y|20121207233017||||
KFS1015|KFS1015|1.0|KFS1015|PRFR|ROBERTA|L|FERLAND|||Y|Y|20121207233017||||
KFS1016|KFS1016|1.0|KFS1016|PRFR|KENDRICK|H|CRABTREE|||Y|Y|20121207233017||||
KFS1017|KFS1017|1.0|KFS1017|PRFR|OLIVE|P|FELKER|||Y|Y|20121207233017||||
KFS1018|KFS1018|1.0|KFS1018|PRFR|AUDREY|F|MARTIN|||Y|Y|20121207233017||||
KFS1019|KFS1019|1.0|KFS1019|PRFR|EVERETTE|W|STERNER|||Y|Y|20121207233017||||
KFS1020|KFS1020|1.0|KFS1020|PRFR|CORINA|H|BAYLESS|||Y|Y|20121207233017||||
KFS1021|KFS1021|1.0|KFS1021|PRFR|THEODORE|M|KATO|||Y|Y|20121207233017||||
KFS1022|KFS1022|1.0|KFS1022|PRFR|CLAUDIA|P|HOVIS|||Y|Y|20121207233017||||
KFS1023|KFS1023|1.0|KFS1023|PRFR|RAFAEL|N|MCINTYRE|||Y|Y|20121207233017||||
KFS1024|KFS1024|1.0|KFS1024|PRFR|EMORY|W|EAGLE|||Y|Y|20121207233017||||
KFS1025|KFS1025|1.0|KFS1025|PRFR|OPAL|V|BLOOD|||Y|Y|20121207233017||||
KFS1026|KFS1026|1.0|KFS1026|PRFR|MITZI|J|POND|||Y|Y|20121207233017||||
KFS1027|KFS1027|1.0|KFS1027|PRFR|ANGELICA|C|FLAHERTY|||Y|Y|20121207233017||||
KFS1028|KFS1028|1.0|KFS1028|PRFR|MASON|U|KOSS|||Y|Y|20121207233017||||
KFS1029|KFS1029|1.0|KFS1029|PRFR|ORA|U|MCEACHERN|||Y|Y|20121207233017||||
KFS1030|KFS1030|1.0|KFS1030|PRFR|WM|T|ACUNA|||Y|Y|20121207233017||||
KFS1031|KFS1031|1.0|KFS1031|PRFR|MARITZA|D|SCHULTE|||Y|Y|20121207233017||||
KFS1032|KFS1032|1.0|KFS1032|PRFR|OLIVER|M|DEVRIES|||Y|Y|20121207233017||||
KFS1033|KFS1033|1.0|KFS1033|PRFR|DARREN|X|DEVANEY|||Y|Y|20121207233017||||
KFS1035|KFS1035|1.0|KFS1035|PRFR|LOGAN|V|CLINKSCALES|||Y|Y|20121207233017||||
KFS1036|KFS1036|1.0|KFS1036|PRFR|ANTWAN|I|BRUNELLE|||Y|Y|20121207233017||||
KFS1037|KFS1037|1.0|KFS1037|PRFR|CONCETTA|N|BERNAL|||Y|Y|20121207233017||||
KFS1038|KFS1038|1.0|KFS1038|PRFR|BARBRA|L|BORST|||Y|Y|20121207233017||||
KFS1039|KFS1039|1.0|KFS1039|PRFR|WALLACE|W|SOILEAU|||Y|Y|20121207233017||||
KFS1040|KFS1040|1.0|KFS1040|PRFR|ALTHEA|Q|BURD|||Y|Y|20121207233017||||
KFS1041|KFS1041|1.0|KFS1041|PRFR|LOUELLA|S|ENGEL|||Y|Y|20121207233017||||
KFS1042|KFS1042|1.0|KFS1042|PRFR|FAYE|L|HEADLEY|||Y|Y|20121207233017||||
KFS1043|KFS1043|1.0|KFS1043|PRFR|RONDA|P|GAILEY|||Y|Y|20121207233017||||
KFS1044|KFS1044|1.0|KFS1044|PRFR|IVAN|X|SHIELDS|||Y|Y|20121207233017||||
KFS1045|KFS1045|1.0|KFS1045|PRFR|OLIVER|M|ELGIN|||Y|Y|20121207233017||||
KFS1046|KFS1046|1.0|KFS1046|PRFR|BEATRIZ|R|BOMAN|||Y|Y|20121207233017||||
KFS1047|KFS1047|1.0|KFS1047|PRFR|TREVOR|N|DUGGINS|||Y|Y|20121207233017||||
KFS1048|KFS1048|1.0|KFS1048|PRFR|KELLY|H|OWENS|||Y|Y|20121207233017||||
KFS1049|KFS1049|1.0|KFS1049|PRFR|NOELLE|R|DARR|||Y|Y|20121207233017||||
KFS1050|KFS1050|1.0|KFS1050|PRFR|CECILE|Z|CARY|||Y|Y|20121207233017||||
KFS1052|KFS1052|1.0|KFS1052|PRFR|DAMON|Q|RALSTON|||Y|Y|20121207233017||||
KFS1053|KFS1053|1.0|KFS1053|PRFR|MERRILL|W|MARTIN|||Y|Y|20121207233017||||
KFS1054|KFS1054|1.0|KFS1054|PRFR|BERT|Z|PALLADINO|||Y|Y|20121207233017||||
KFS1055|KFS1055|1.0|KFS1055|PRFR|CHERYL|M|DUNKLE|||Y|Y|20121207233017||||
KFS1056|KFS1056|1.0|KFS1056|PRFR|CARL|S|CHASE|||Y|Y|20121207233017||||
KFS1057|KFS1057|1.0|KFS1057|PRFR|KRISTOPHER|G|WEIS|||Y|Y|20121207233017||||
KFS1058|KFS1058|1.0|KFS1058|PRFR|AMY|J|LINDHOLM|||Y|Y|20121207233017||||
KFS1059|KFS1059|1.0|KFS1059|PRFR|AMELIA|M|MUNFORD|||Y|Y|20121207233017||||
