vndr_hdr_gnrtd_id|obj_id|ver_nbr|vndr_typ_cd|vndr_us_tax_nbr|vndr_tax_typ_cd|vndr_ownr_cd|vndr_ownr_ctgry_cd|vndr_fwt_beg_dt|vndr_fwt_end_dt|vndr_w9_rcvd_ind|vndr_w8_rcvd_ind|vndr_debrd_ind|vndr_frgn_ind|vndr_w8_typ_cd|vndr_w9_signed_dt|vndr_w8_signed_dt|vndr_corp_ctzn_cntry_cd|vndr_foreign_tax_id|vndr_giin|vndr_dob_dt|vndr_chap_3_stat_cd|vndr_chap_4_stat_cd|
1000.0|9A9D8488-8DEA-9112-AB58-51875445B470|5.0|PO|trp49tUD8IWK9pAI/L50kg==|FEIN|CP||||Y||N|N||||||||||
1001.0|CB15B248-D67D-8881-F693-3BE1D49D6FD9|2.0|PO|QjSDXz5WP+U1yan6wdvxhQ==|FEIN|NP||||Y||N|N||||||||||
1002.0|B76736F9-D8C9-B83D-BBF3-8D0446C5E0A8|3.0|PO|Z+/WOSbHJsfbGOdhtgfyiw==|FEIN|CP||||Y|||N||||||||||
1003.0|1B4A7A09-4536-557A-2108-B022454D1A1F|1.0|DV|LcONBAeNvz0c3lalnjPKpA==|FEIN|CP|||||||N||||||||||
1004.0|B996E9CE-9EED-423A-D784-14A167698FF4|2.0|PO|833ftXdfYjo1yan6wdvxhQ==|FEIN|CP||||Y||Y|N||||||||||
1005.0|A5BC78EE-DBFF-3BAB-B599-249815B5EE47|2.0|PO|0Is/4DsIw7mK9pAI/L50kg==|FEIN|ID|LE||||||N||||||||||
1006.0|CC80F78E-E820-74F0-F072-17719E6DB98D|1.0|DV|MOYZSphxJbP4uOW53wiKPQ==|FEIN|GV|||||||Y||||||||||
1007.0|1481081C-8D5D-B47F-C133-FF096BBBFEA6|2.0|PO|||CP|||||||Y||||||||||
1008.0|8E8A9E9D-8F6D-C3E3-2E3A-B1A6AD0D0D1B|1.0|DV|afQvCdjmHG0c3lalnjPKpA==|SSN|ID|||||||N||||||||||
1009.0|A3E804F2-53EF-2A73-DE5F-FC1ADE550183|2.0|PO|cuUi2042Mxcc3lalnjPKpA==|FEIN|CP|||||||Y||||||||||
1010.0|0210D66F-A777-CCB9-ED4E-8932E6EE3496|2.0|PO|IvT3oVSxWk2K9pAI/L50kg==|FEIN|ET|||||||N||||||||||
1011.0|DD36E7A3-85B7-534A-656B-D5C957D6C5B9|2.0|PO|||PT|||||||Y||||||||||
