ROLE_RSP_ID,OBJ_ID,ROLE_ID,RSP_ID,ACTV_IND
KFS10000,KFS-TEM-ROLE-RSP-000,KFS10255,KFS10343,Y
KFS10001,KFS-TEM-ROLE-RSP-001,KFS10256,KFS10344,Y
KFS10002,KFS-TEM-ROLE-RSP-002,KFS10257,KFS10345,Y
KFS10003,KFS-TEM-ROLE-RSP-003,15,KFS10346,Y
KFS10005,KFS-TEM-ROLE-RSP-005,KFS10258,KFS10347,Y
KFS10006,KFS-TEM-ROLE-RSP-006,KFS10259,KFS10348,Y
KFS10007,KFS-TEM-ROLE-RSP-007,50,KFS10349,Y
KFS10008,KFS-TEM-ROLE-RSP-008,KFS10264,KFS10350,Y
KFS10009,KFS-TEM-ROLE-RSP-009,KFS10255,KFS10351,Y
KFS10010,KFS-TEM-ROLE-RSP-010,50,KFS10352,Y
KFS10011,KFS-TEM-ROLE-RSP-011,KFS10265,KFS10353,Y
KFS10012,KFS-TEM-ROLE-RSP-012,KFS10266,KFS10354,Y
KFS10013,KFS-TEM-ROLE-RSP-013,50,KFS10355,Y
KFS10014,KFS-TEM-ROLE-RSP-014,KFS10268,KFS10356,Y
KFS10015,KFS-TEM-ROLE-RSP-015,KFS10255,KFS10357,Y
KFS10016,KFS-TEM-ROLE-RSP-016,KFS10258,KFS10358,Y
KFS10017,KFS-TEM-ROLE-RSP-017,50,KFS10359,Y
KFS10018,KFS-TEM-ROLE-RSP-018,KFS10256,KFS10360,Y
KFS10019,KFS-TEM-ROLE-RSP-019,15,KFS10361,Y
KFS10020,KFS-TEM-ROLE-RSP-020,KFS10268,KFS10362,Y
KFS10021,KFS-TEM-ROLE-RSP-021,KFS10259,KFS10363,Y
KFS10022,KFS-TEM-ROLE-RSP-022,KFS10259,KFS10364,Y
KFS10023,KFS-TEM-ROLE-RSP-023,15,KFS10365,Y
KFS10025,KFS-TEM-ROLE-RSP-025,15,KFS10366,Y
KFS10027,KFS-TEM-ROLE-RSP-027,KFS10259,KFS10367,Y
KFS10028,KFS-TEM-ROLE-RSP-028,KFS10259,KFS10368,Y
KFS10029,KFS-TEM-ROLE-RSP-029,KFS10268,KFS10369,Y
KFS10030,KFS-TEM-ROLE-RSP-030,KFS10268,KFS10370,Y
KFS10031,KFS-TEM-ROLE-RSP-031,KFS10255,KFS10371,Y
KFS10032,KFS-TEM-ROLE-RSP-032,41,KFS10380,Y
