ROLE_MBR_ID,OBJ_ID,ROLE_ID,MBR_ID,MBR_TYP_CD
TEM-10000,KFS-TEM-ROLE-MBR-001,54,2,P
TEM-10001,KFS-TEM-ROLE-MBR-002,45,2,P
TEM-10002,KFS-TEM-ROLE-MBR-003,TEM-10008,6162502038,P
TEM-10003,KFS-TEM-ROLE-MBR-004,TEM-10009,6162502038,P
TEM-10004,KFS-TEM-ROLE-MBR-005,54,1817304397,P
TEM-10005,KFS-TEM-ROLE-MBR-006,TEM-10000,2599004561,P
TEM-10006,KFS-TEM-ROLE-MBR-007,TEM-10002,1860205280,P
TEM-10007,KFS-TEM-ROLE-MBR-008,TEM-10003,2422606713,P
TEM-10008,KFS-TEM-ROLE-MBR-009,TEM-10004,1325700900,P
TEM-10009,KFS-TEM-ROLE-MBR-010,TEM-10007,1271001025,P
TEM-10010,KFS-TEM-ROLE-MBR-011,TEM-10010,A000000008,P
TEM-10011,KFS-TEM-ROLE-MBR-012,TEM-10011,A000000005,P
TEM-10012,KFS-TEM-ROLE-MBR-013,TEM-10014,3002005569,P
TEM-10013,KFS-TEM-ROLE-MBR-014,51,6162502038,P
TEM-10014,KFS-TEM-ROLE-MBR-015,54,1325700900,P
